artifact_version,ensemble_name,member_index,member,feature_space,feature_selection,n_genes,decision_threshold,feature_index,feature_type,feature_id,symbol,tissue_category,scaler_mean,scaler_scale,coef_msi,intercept_msi
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,73,sample_gene_z,MUC20,MUC20,,0.8101855974713733,0.5114096845106773,-0.6970066674326312,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,74,sample_gene_z,CTTNBP2,CTTNBP2,,-0.3229024804538014,0.5971948156425919,-0.3250118886316303,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,75,sample_gene_z,ZMYND8,ZMYND8,,0.9080511573124636,0.21771993883462343,-0.3650287771811403,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,76,sample_gene_z,SALL4,SALL4,,-0.8059268676700563,0.552670372028321,-0.23674939713087162,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,77,sample_gene_z,TMEM176A,TMEM176A,,0.9036575476937958,0.5369426500670125,0.18323967807164382,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,78,sample_gene_z,KISS1R,KISS1R,,-1.952440577129136,0.727740275917526,-0.0868807814411588,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,79,sample_gene_z,GNG4,GNG4,,-0.34785572626306105,0.8431200269941207,0.048737957603206816,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,80,sample_gene_z,ITGAE,ITGAE,,0.1115140196135972,0.29877975879104957,0.8228347133189539,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,81,sample_gene_z,CTNNBL1,CTNNBL1,,0.7536022027108259,0.16337635725354618,-0.10260369159136505,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,82,sample_gene_z,C20orf111,C20orf111,,0.6548001351245999,0.16968368325062397,0.12860047247293568,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,83,sample_gene_z,SYN3,SYN3,,-1.7439425327052127,0.6163974273087643,0.06921726904898734,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,84,sample_gene_z,IFNG,IFNG,,-1.932821107378568,0.6096883663762476,-0.1517998867421079,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,85,sample_gene_z,SLC7A4,SLC7A4,,-0.7799118873392099,0.6701438673426569,-0.6891278188767174,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,86,sample_gene_z,CBFA2T2,CBFA2T2,,0.7096488279791834,0.17530241166803193,0.05565188147990587,-3.812263821134212
